date,close,volume,open,high,low
12/6/18,2695.95,0,2663.51,2696.15,2621.53
12/4/18,2700.06,0,2782.43,2785.93,2697.18
12/3/18,2790.37,0,2790.5,2800.18,2773.38
11/30/18,2760.17,0,2737.76,2760.88,2732.76
11/29/18,2737.76,0,2736.97,2753.75,2722.94
11/28/18,2743.79,0,2691.45,2744,2684.38
11/27/18,2682.17,0,2663.75,2682.53,2655.89
11/26/18,2673.45,0,2649.97,2674.35,2649.97
11/23/18,2632.56,0,2633.36,2647.55,2631.09
11/21/18,2649.93,0,2657.74,2670.73,2649.82
11/20/18,2641.89,0,2654.6,2669.44,2631.52
11/19/18,2690.73,0,2730.74,2733.16,2681.09
11/16/18,2736.27,0,2718.54,2746.75,2712.16
11/15/18,2730.2,0,2693.52,2735.38,2670.75
11/14/18,2701.58,0,2737.9,2746.8,2685.75
11/13/18,2722.18,0,2730.05,2754.6,2714.98
11/12/18,2726.22,0,2773.93,2775.99,2722
11/9/18,2781.01,0,2794.1,2794.1,2764.24
11/8/18,2806.83,0,2806.38,2814.75,2794.99
11/7/18,2813.89,0,2774.13,2815.15,2774.13
11/6/18,2755.45,0,2738.4,2756.82,2737.08
11/5/18,2738.31,0,2726.37,2744.27,2717.94
11/2/18,2723.06,0,2745.45,2756.55,2700.44
11/1/18,2740.37,0,2717.58,2741.67,2708.85
10/31/18,2711.74,0,2705.6,2736.69,2705.6
10/30/18,2682.63,0,2640.68,2685.43,2635.34
10/29/18,2641.25,0,2682.65,2706.85,2603.54
10/26/18,2658.69,0,2667.86,2692.38,2628.16
10/25/18,2705.57,0,2674.88,2722.7,2667.84
10/24/18,2656.1,0,2737.87,2742.59,2651.89
10/23/18,2740.69,0,2721.03,2753.59,2691.43
10/22/18,2755.88,0,2773.94,2778.94,2749.22
10/19/18,2767.78,0,2775.66,2797.77,2760.27
10/18/18,2768.78,0,2802,2806.04,2755.18
10/17/18,2809.21,0,2811.67,2816.94,2781.81
10/16/18,2809.92,0,2767.05,2813.46,2766.91
10/15/18,2750.79,0,2763.83,2775.99,2749.03
10/12/18,2767.13,0,2770.54,2775.77,2729.44
10/11/18,2728.37,0,2776.87,2795.14,2710.51
10/10/18,2785.68,0,2873.9,2874.02,2784.86
10/9/18,2880.34,0,2882.51,2894.83,2874.27
10/8/18,2884.43,0,2877.53,2889.45,2862.08
10/5/18,2885.57,0,2902.54,2909.64,2869.29
10/4/18,2901.61,0,2919.35,2919.78,2883.92
10/3/18,2925.51,0,2931.69,2939.86,2921.36
10/2/18,2923.43,0,2923.8,2931.42,2919.37
10/1/18,2924.59,0,2926.29,2937.06,2917.91
9/28/18,2913.98,0,2910.03,2920.53,2907.5
9/27/18,2914,0,2911.65,2927.22,2909.27
9/26/18,2905.97,0,2916.98,2931.15,2903.28
9/25/18,2915.56,0,2921.75,2923.95,2913.7
9/24/18,2919.37,0,2921.83,2923.79,2912.63
9/21/18,2929.67,0,2936.76,2940.91,2927.11
9/20/18,2930.75,0,2919.73,2934.8,2919.73
9/19/18,2907.95,0,2906.6,2912.36,2903.82
9/18/18,2904.31,0,2890.74,2911.17,2890.43
9/17/18,2888.8,0,2903.83,2904.65,2886.16
9/14/18,2904.98,0,2906.38,2908.3,2895.77
9/13/18,2904.18,0,2896.85,2906.76,2896.39
9/12/18,2888.92,0,2888.29,2894.65,2879.2
9/11/18,2887.89,0,2871.57,2892.52,2866.78
9/10/18,2877.13,0,2881.39,2886.93,2875.94
9/7/18,2871.68,0,2868.26,2883.81,2864.12
9/6/18,2878.05,0,2888.64,2892.05,2867.29
9/5/18,2888.6,0,2891.59,2894.21,2876.92
9/4/18,2896.72,0,2896.96,2900.18,2885.13
8/31/18,2901.52,0,2898.37,2906.32,2891.73
8/30/18,2901.13,0,2908.94,2912.46,2895.22
8/29/18,2914.04,0,2900.62,2916.5,2898.4
